Día,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,
1,23.1,30,17.9,1013,65,0,12.9,3.5,3.5,-, , ,o, ,
2,23.2,32.8,15.5,1011.5,62,7.37,11.3,3.5,3.5,-,o, , , ,
3,23.6,27.8,19.2,1010.8,69,0,12.9,4.4,7.2,-,o, , , ,
4,,,,,,,,,,, , , , ,
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6,,,,,,,,,,,o, , , ,
7,,,,,,,,,,, , , , ,
8,20.7,29.2,15.8,1010.4,80,2.03,11.9,3.5,3.5,-,o, ,o, ,
9,21.2,30.1,15.8,1010.1,74,0,10.6,3.5,3.5,-, , , , ,
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,21.6,29.8,16.2,1010.9,70,0,11.4,-,-,-,o, , , ,
12,,,,,,,,,,, , , , ,
13,,,,,,,,,,, , , , ,
14,,,,,,,,,,,o, , , ,
15,22.9,27.8,15.8,1012.4,62,0,12.7,4.3,7.2,-, , , , ,
16,23.5,30.6,14.7,1010.2,64,0,13,-,-,-,o, , , ,
17,22.9,29,15.8,1008.9,69,6.6,12.1,4.3,7.2,-,o, ,o, ,
18,,,,,,,,,,, , , , ,
19,,,,,,,,,,, , , , ,
20,,,,,,,,,,, , , , ,
21,23.8,30.4,17.1,1004.3,60,0,12.9,5,7.2,-, , , , ,
22,21.1,27.8,17.8,1004.9,76,4.83,12.6,4.4,7.2,-, , , , ,
23,22.3,28.3,17.1,1008.6,67,15.75,13.4,4.8,7.2,-, , , , ,
24,,,,,,,,,,, , , , ,
25,,,,,,,,,,, , , , ,
26,,,,,,,,,,, , , , ,
27,24.2,28.5,15.4,1005.3,53,0,11.4,5.4,7.2,-, , , , ,
28,19.7,26.9,15.9,1008.1,77,0,11.3,4.3,7.2,-,o, , , ,
29,20.5,24.9,16.9,1009.2,80,3.81,12.4,5.7,10.7,-,o, , , ,
30,,,,,,,,,,, , , , ,
31,,,,,,,,,,,o, , , ,
